EVENT_ID  ISSUE_ID  TYPE        CREATION_DATE           ACTOR            TITLE

​ 4020135916 45037 | renamed | 2020-11-20T10:07:11Z | wanghao0225 | tensorflow version 2.2.0 ;question:WARNING:tensorflow:6 out of the last 11 calls to <function Model.make_predict_function.<locals>.predict_function at 0x0000023B864321F8> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings is likely due to passing python objects instead of tensors. Also, tf.function has experimental_relax_shapes=True option that relaxes argument shapes that can avoid unnecessary retracing. Please refer to https://www.tensorflow.org/tutorials/customization/performance#python_or_tensor_args and https://www.tensorflow.org/api_docs/python/tf/function for more details.
​ 4019993302 45036 | assigned | 2020-11-20T09:34:00Z | Saduf2019 | UnicodeDecodeError: 'utf-8' codec can't decode byte 0xc1 in position 50: invalid start byte
​ 4019993022 45026 | labeled | 2020-11-20T09:33:56Z | ravikyram | Reduce on MirroredVariable
​ 4019993020 45026 | labeled | 2020-11-20T09:33:56Z | ravikyram | Reduce on MirroredVariable
​ 4019988113 45035 | assigned | 2020-11-20T09:32:43Z | ravikyram | tf.keras.layers.LSTM don't check mask shape(tensorflow-gpu with cuda)
​ 4019988019 45035 | labeled | 2020-11-20T09:32:41Z | lieberman94 | tf.keras.layers.LSTM don't check mask shape(tensorflow-gpu with cuda)
​ 4019982771 45034 | assigned | 2020-11-20T09:31:25Z | amahendrakar | setup.py is missing tblib dependency
​ 4019982693 45034 | labeled | 2020-11-20T09:31:24Z | Flamefire | setup.py is missing tblib dependency
​ 4019979507 45002 | subscribed | 2020-11-20T09:30:40Z | NALanhnt2 | Leak memory on ios
​ 4019979503 45002 | mentioned | 2020-11-20T09:30:40Z | NALanhnt2 | Leak memory on ios
​ 4019978843 45002 | labeled | 2020-11-20T09:30:31Z | ravikyram | Leak memory on ios
​ 4019978498 45002 | labeled | 2020-11-20T09:30:26Z | ravikyram | Leak memory on ios
​ 4019978496 45002 | labeled | 2020-11-20T09:30:26Z | ravikyram | Leak memory on ios
​ 4019978494 45002 | unlabeled | 2020-11-20T09:30:26Z | ravikyram | Leak memory on ios
​ 4019964998 44176 | subscribed | 2020-11-20T09:27:10Z | federicoruggeri | Massive memory leaks due to data.Dataset.shuffle
​ 4019964994 44176 | mentioned | 2020-11-20T09:27:10Z | federicoruggeri | Massive memory leaks due to data.Dataset.shuffle
​ 4019964984 44176 | subscribed | 2020-11-20T09:27:10Z | sehoffmann | Massive memory leaks due to data.Dataset.shuffle
​ 4019964979 44176 | mentioned | 2020-11-20T09:27:10Z | sehoffmann | Massive memory leaks due to data.Dataset.shuffle
​ 4019946853 45033 | assigned | 2020-11-20T09:22:54Z | Saduf2019 | tensorflow/lite/micro/tools/make/Makefile:403: *** Something went wrong with the flatbuffers download: .  Stop.
​ 4019946735 45033 | labeled | 2020-11-20T09:22:53Z | YANxu-666 | tensorflow/lite/micro/tools/make/Makefile:403: *** Something went wrong with the flatbuffers download: .  Stop.
​ 4019860106 45032 | assigned | 2020-11-20T09:02:40Z | ravikyram | Wheel repairing broken when using tensorflow/tensorflow:custom-op-gpu-ubuntu16 docker image
​ 4019859956 45032 | labeled | 2020-11-20T09:02:38Z | akarmi | Wheel repairing broken when using tensorflow/tensorflow:custom-op-gpu-ubuntu16 docker image
​ 4019838133 45008 | unassigned | 2020-11-20T08:57:16Z | ymodak | Chinese docs on .org site should not link to .cn site
​ 4019837872 45008 | labeled | 2020-11-20T08:57:11Z | ymodak | Chinese docs on .org site should not link to .cn site
​ 4019837544 45008 | assigned | 2020-11-20T08:57:05Z | lamberta | Chinese docs on .org site should not link to .cn site
​ 4019835446 45005 | labeled | 2020-11-20T08:56:30Z | ymodak | Unable to perform subsampling using tf.data.Dataset map() method.
​ 4019835170 45005 | unassigned | 2020-11-20T08:56:25Z | ymodak | Unable to perform subsampling using tf.data.Dataset map() method.
​ 4019834955 45005 | assigned | 2020-11-20T08:56:22Z | aaudiber | Unable to perform subsampling using tf.data.Dataset map() method.
​ 4019815154 45002 | subscribed | 2020-11-20T08:51:04Z | ravikyram | Leak memory on ios
​ 4019815144 45002 | mentioned | 2020-11-20T08:51:04Z | ravikyram | Leak memory on ios
​ 4019803335 44987 | subscribed | 2020-11-20T08:48:01Z | nikitamaia | Necessity of "strategy.run" and "distribute_datasets_from_function" for ParameterServers
​ 4019803328 44987 | mentioned | 2020-11-20T08:48:01Z | nikitamaia | Necessity of "strategy.run" and "distribute_datasets_from_function" for ParameterServers
​ 4019778250 40438 | subscribed | 2020-11-20T08:41:07Z | wisonye | Building TF Lite C++ shared library for macOS, linux, iOS and Android
​ 4019778244 40438 | mentioned | 2020-11-20T08:41:07Z | wisonye | Building TF Lite C++ shared library for macOS, linux, iOS and Android
​ 4019763419 37332 | subscribed | 2020-11-20T08:37:10Z | only-yao | TFTRT Int8 calibrate out of memory
​ 4019763413 37332 | mentioned | 2020-11-20T08:37:10Z | only-yao | TFTRT Int8 calibrate out of memory
​ 4019717695 38120 | labeled | 2020-11-20T08:24:18Z | saikumarchalla | TF_GPU_ALLOCATOR=cuda_malloc and the GPUBFC allocator is still used.
​ 4019603286 43223 | labeled | 2020-11-20T07:52:21Z | ravikyram | OP_REQUIRES failed : Not found: No algorithm worked!
​ 4019574485 40438 | subscribed | 2020-11-20T07:42:52Z | ebraraktas | Building TF Lite C++ shared library for macOS, linux, iOS and Android
​ 4019574484 40438 | mentioned | 2020-11-20T07:42:52Z | ebraraktas | Building TF Lite C++ shared library for macOS, linux, iOS and Android
​ 4019553583 45008 | assigned | 2020-11-20T07:36:28Z | ymodak | Chinese docs on .org site should not link to .cn site
​ 4019553575 45008 | unassigned | 2020-11-20T07:36:28Z | amahendrakar | Chinese docs on .org site should not link to .cn site
​ 4019552612 45008 | labeled | 2020-11-20T07:36:09Z | amahendrakar | Chinese docs on .org site should not link to .cn site
 4019540174 45005 | assigned | 2020-11-20T07:32:11Z | ymodak | Unable to perform subsampling using tf.data.Dataset map() method.
 4019540163 45005 | unassigned | 2020-11-20T07:32:11Z | amahendrakar | Unable to perform subsampling using tf.data.Dataset map() method.
 4019539557 45005 | labeled | 2020-11-20T07:31:59Z | amahendrakar | Unable to perform subsampling using tf.data.Dataset map() method.
 4019538283 42916 | subscribed | 2020-11-20T07:31:32Z | eternalphane | Failed to convert SparseTensor to Tensor
 4019538281 42916 | mentioned | 2020-11-20T07:31:32Z | eternalphane | Failed to convert SparseTensor to Tensor
 4019517600 44548 | labeled | 2020-11-20T07:23:59Z | amahendrakar | RuntimeError: tensorflow/lite/kernels/conv.cc:238 input->dims->data[3] != filter->dims->data[3] (32 != 1)Node number 1 (CONV_2D) failed to prepare.
 4019476608 44971 | labeled | 2020-11-20T07:10:30Z | advaitjain | Flexbuffers patching causing -Wnull-dereference
 4019474653 44833 | labeled | 2020-11-20T07:10:06Z | advaitjain | Optimize Tensorflow for Cortex-R MCUs
 4019472069 44628 | labeled | 2020-11-20T07:09:34Z | advaitjain | Move EthosU custom op out of AllOpsResolver
 4019463712 44520 | subscribed | 2020-11-20T07:07:46Z | terryheo | tf.lite.Interpreter can not be used on the newest nightly version
 4019463708 44520 | mentioned | 2020-11-20T07:07:46Z | terryheo | tf.lite.Interpreter can not be used on the newest nightly version
 4019432256 44747 | unlabeled | 2020-11-20T07:01:05Z | kokoro-team | [PluggableDevice]Add kernel and stream executor c api extension
 4019428472 44747 | labeled | 2020-11-20T07:00:19Z | annarev | [PluggableDevice]Add kernel and stream executor c api extension
 4019321111 45019 | subscribed | 2020-11-20T06:27:12Z | Liquidten | Error while loading .jpg images. Please help
 4019321106 45019 | mentioned | 2020-11-20T06:27:12Z | Liquidten | Error while loading .jpg images. Please help
 4019319679 44017 | unlabeled | 2020-11-20T06:26:39Z | tensorflow-butler[bot] | [PluggableDevice] Kernel C API enhancement for retrieving attributes
 4019291588 45031 | labeled | 2020-11-20T06:16:18Z | google-cla[bot] | [INTEL_MKL] Enable MatMul + Bias + LeakyRelu fusion
 4019291403 45031 | labeled | 2020-11-20T06:16:14Z | tensorflow-butler[bot] | [INTEL_MKL] Enable MatMul + Bias + LeakyRelu fusion
 4019281521 45019 | subscribed | 2020-11-20T06:12:26Z | ravikyram | Error while loading .jpg images. Please help
 4019281514 45019 | mentioned | 2020-11-20T06:12:26Z | ravikyram | Error while loading .jpg images. Please help
 4019251719 44944 | labeled | 2020-11-20T06:01:16Z | jvishnuvardhan | tflite_runtime got installed successfully, however getting error while importing interpreter.
 4019251717 44944 | unlabeled | 2020-11-20T06:01:16Z | jvishnuvardhan | tflite_runtime got installed successfully, however getting error while importing interpreter.
 4019251415 44944 | assigned | 2020-11-20T06:01:08Z | terryheo | tflite_runtime got installed successfully, however getting error while importing interpreter.
 4019251411 44944 | unassigned | 2020-11-20T06:01:08Z | jvishnuvardhan | tflite_runtime got installed successfully, however getting error while importing interpreter.
 4019235708 44520 | subscribed | 2020-11-20T05:54:48Z | cookingbear | tf.lite.Interpreter can not be used on the newest nightly version
 4019235702 44520 | mentioned | 2020-11-20T05:54:48Z | cookingbear | tf.lite.Interpreter can not be used on the newest nightly version
 4019219106 44944 | subscribed | 2020-11-20T05:47:42Z | jvishnuvardhan | tflite_runtime got installed successfully, however getting error while importing interpreter.
 4019219102 44944 | mentioned | 2020-11-20T05:47:42Z | jvishnuvardhan | tflite_runtime got installed successfully, however getting error while importing interpreter.
 4019175267 45030 | assigned | 2020-11-20T05:28:31Z | amahendrakar | Request implementation of SSE regularization
 4019175203 45030 | labeled | 2020-11-20T05:28:29Z | wuliwei9278 | Request implementation of SSE regularization
 4019142464 44990 | subscribed | 2020-11-20T05:13:26Z | zzhulm | tf-gpu 2.3.1 get initial low accuracy compare to tf-gpu 2.1
 4019142462 44990 | mentioned | 2020-11-20T05:13:26Z | zzhulm | tf-gpu 2.3.1 get initial low accuracy compare to tf-gpu 2.1
 4019123506 44987 | subscribed | 2020-11-20T05:03:57Z | nikitamaia | Necessity of "strategy.run" and "distribute_datasets_from_function" for ParameterServers
 4019123504 44987 | mentioned | 2020-11-20T05:03:57Z | nikitamaia | Necessity of "strategy.run" and "distribute_datasets_from_function" for ParameterServers
 4019117133 45005 | subscribed | 2020-11-20T05:01:02Z | bhack | Unable to perform subsampling using tf.data.Dataset map() method.
 4019117128 45005 | mentioned | 2020-11-20T05:01:01Z | bhack | Unable to perform subsampling using tf.data.Dataset map() method.
 4019106023 44975 | subscribed | 2020-11-20T04:55:24Z | Saduf2019 | Conversion to TFLite fails with 2.4.0-rc1
 4019106021 44975 | mentioned | 2020-11-20T04:55:24Z | Saduf2019 | Conversion to TFLite fails with 2.4.0-rc1
 4019103218 43774 | unlabeled | 2020-11-20T04:53:51Z | kokoro-team | Fixed inputs not being cast to tuple
 4019101903 43774 | moved_columns_in_project | 2020-11-20T04:53:07Z | qlzh727 | Fixed inputs not being cast to tuple
 4019101790 43774 | labeled | 2020-11-20T04:53:03Z | tensorflow-butler[bot] | Fixed inputs not being cast to tuple
 4019101789 43774 | labeled | 2020-11-20T04:53:03Z | tensorflow-butler[bot] | Fixed inputs not being cast to tuple
 4019101584 44961 | subscribed | 2020-11-20T04:52:57Z | Saduf2019 | Quantization op for Reshape is not supported in keras
​ 4022374220 45021 | labeled | 2020-11-20T19:04:12Z | ymodak | execution_profile_test_with_xla_hlo_profile_cpu fails on s390x
​ 4022373948 45021 | unassigned | 2020-11-20T19:04:07Z | ymodak | execution_profile_test_with_xla_hlo_profile_cpu fails on s390x
​ 4022373603 45021 | assigned | 2020-11-20T19:04:01Z | r4nt | execution_profile_test_with_xla_hlo_profile_cpu fails on s390x
​ 4022357469 44993 | unlabeled | 2020-11-20T18:59:25Z | kokoro-team | Include C logging API into part of the libtensorflow_framework.so
​ 4022354492 44993 | labeled | 2020-11-20T18:58:34Z | yongtang | Include C logging API into part of the libtensorflow_framework.so
​ 4022323924 40453 | labeled | 2020-11-20T18:49:38Z | jvishnuvardhan | model.fit() is 10% slower over custom training loops when using TPUs
​ 4022295892 45047 | labeled | 2020-11-20T18:40:56Z | google-cla[bot] | Use batch_size without modulo in eager_mode
​ 4022295874 45047 | unlabeled | 2020-11-20T18:40:55Z | google-cla[bot] | Use batch_size without modulo in eager_mode
​ 4022295679 45047 | head_ref_force_pushed | 2020-11-20T18:40:51Z | bhack | Use batch_size without modulo in eager_mode
​ 4022278372 45028 | assigned | 2020-11-20T18:35:51Z | rmothukuru | CUDNN_STATUS_NOT_INITIALIZED error with tensorflow-gpu 2.4.0-rc2 RTX3070 CUDA11.0 cudnn8.0.2 windows10 and pip
​ 4022278361 45028 | unassigned | 2020-11-20T18:35:51Z | Saduf2019 | CUDNN_STATUS_NOT_INITIALIZED error with tensorflow-gpu 2.4.0-rc2 RTX3070 CUDA11.0 cudnn8.0.2 windows10 and pip
​ 4022274390 45047 | labeled | 2020-11-20T18:34:34Z | google-cla[bot] | Use batch_size without modulo in eager_mode
​ 4022272524 45047 | review_requested | 2020-11-20T18:34:00Z | tensorflow-butler[bot] | Use batch_size without modulo in eager_mode
​ 4022272352 45047 | labeled | 2020-11-20T18:33:58Z | tensorflow-butler[bot] | Use batch_size without modulo in eager_mode
​ 4022272241 45047 | review_requested | 2020-11-20T18:33:56Z | bhack | Use batch_size without modulo in eager_mode
​ 4022272238 45047 | review_requested | 2020-11-20T18:33:56Z | bhack | Use batch_size without modulo in eager_mode
​ 4022272236 45047 | review_requested | 2020-11-20T18:33:56Z | bhack | Use batch_size without modulo in eager_mode
​ 4022269214 45020 | assigned | 2020-11-20T18:33:01Z | ymodak | Building r2.3 branch fails on Windows 10 x64
​ 4022269208 45020 | unassigned | 2020-11-20T18:33:01Z | Saduf2019 | Building r2.3 branch fails on Windows 10 x64
​ 4022267430 45014 | assigned | 2020-11-20T18:32:31Z | karimnosseir | Cannot use Hexagon delegate in Oneplus 6t. Failed to fetch Hexagon NN version. Not working since 18-Nov-2020.
​ 4022264447 44610 | assigned | 2020-11-20T18:31:41Z | jvishnuvardhan | Convert Tensorflow model to TFLite model - problem with boxes after quantization
​ 4022264441 44610 | unassigned | 2020-11-20T18:31:41Z | Saduf2019 | Convert Tensorflow model to TFLite model - problem with boxes after quantization
​ 4022263317 45042 | unlabeled | 2020-11-20T18:31:19Z | kokoro-team | Fix typo in reshape.cc
​ 4022260443 45042 | labeled | 2020-11-20T18:30:29Z | tensorflow-butler[bot] | Fix typo in reshape.cc
​ 4022230026 44897 | assigned | 2020-11-20T18:21:39Z | ymodak | Cuda verision not documents
​ 4022211332 45016 | labeled | 2020-11-20T18:17:01Z | Saduf2019 | Memory leak with tf.GradientTape, tf.while_loop and tf.function
​ 4022210760 45016 | labeled | 2020-11-20T18:16:52Z | Saduf2019 | Memory leak with tf.GradientTape, tf.while_loop and tf.function
​ 4022205870 45034 | assigned | 2020-11-20T18:15:38Z | rmothukuru | setup.py is missing tblib dependency
​ 4022205850 45034 | unassigned | 2020-11-20T18:15:38Z | amahendrakar | setup.py is missing tblib dependency
​ 4022204712 45034 | labeled | 2020-11-20T18:15:20Z | amahendrakar | setup.py is missing tblib dependency
​ 4022188228 44668 | labeled | 2020-11-20T18:11:29Z | Saduf2019 | Unable to "import tensorflow" using 2.4.0rc0 from within conda environment
​ 4022187486 44668 | subscribed | 2020-11-20T18:11:20Z | psalveson | Unable to "import tensorflow" using 2.4.0rc0 from within conda environment
​ 4022187479 44668 | mentioned | 2020-11-20T18:11:20Z | psalveson | Unable to "import tensorflow" using 2.4.0rc0 from within conda environment
​ 4022156213 45011 | assigned | 2020-11-20T18:06:02Z | jvishnuvardhan | Cannot run GPU on tensorflow Docker Image with Tensorflow 2.3.1
​ 4022156201 45011 | unassigned | 2020-11-20T18:06:02Z | Saduf2019 | Cannot run GPU on tensorflow Docker Image with Tensorflow 2.3.1
​ 4022154054 44688 | labeled | 2020-11-20T18:05:37Z | nikitamaia | Memory leak in TF 2.3.1 when using Multi-worker training
​ 4022153736 45030 | assigned | 2020-11-20T18:05:34Z | rmothukuru | Request implementation of SSE regularization
​ 4022153718 45030 | unassigned | 2020-11-20T18:05:34Z | amahendrakar | Request implementation of SSE regularization
​ 4022153147 45011 | labeled | 2020-11-20T18:05:27Z | Saduf2019 | Cannot run GPU on tensorflow Docker Image with Tensorflow 2.3.1
​ 4022146750 45030 | labeled | 2020-11-20T18:04:22Z | amahendrakar | Request implementation of SSE regularization
​ 4022145796 44933 | subscribed | 2020-11-20T18:04:14Z | bhack | Dataset.unbatch() sets cardinality to -2 when batch remainder is not explicitly dropped
​ 4022145790 44933 | mentioned | 2020-11-20T18:04:13Z | bhack | Dataset.unbatch() sets cardinality to -2 when batch remainder is not explicitly dropped
​ 4022145026 44961 | assigned | 2020-11-20T18:04:05Z | ymodak | Quantization op for Reshape is not supported in keras
​ 4022145007 44961 | unassigned | 2020-11-20T18:04:05Z | Saduf2019 | Quantization op for Reshape is not supported in keras
​ 4022144351 44961 | unlabeled | 2020-11-20T18:03:58Z | Saduf2019 | Quantization op for Reshape is not supported in keras
​ 4022143652 44961 | labeled | 2020-11-20T18:03:51Z | Saduf2019 | Quantization op for Reshape is not supported in keras
​ 4022143648 44961 | labeled | 2020-11-20T18:03:51Z | Saduf2019 | Quantization op for Reshape is not supported in keras
​ 4022142087 44961 | unlabeled | 2020-11-20T18:03:35Z | Saduf2019 | Quantization op for Reshape is not supported in keras
​ 4022141881 44159 | subscribed | 2020-11-20T18:03:33Z | linuxmaster0312 | Incompatibility between versions of TF and CUDA dynamic libraries
​ 4022141878 44159 | mentioned | 2020-11-20T18:03:33Z | linuxmaster0312 | Incompatibility between versions of TF and CUDA dynamic libraries
​ 4022118391 45036 | labeled | 2020-11-20T17:59:23Z | Saduf2019 | UnicodeDecodeError: 'utf-8' codec can't decode byte 0xc1 in position 50: invalid start byte
​ 4022117775 45036 | subscribed | 2020-11-20T17:59:16Z | qufdl0357 | UnicodeDecodeError: 'utf-8' codec can't decode byte 0xc1 in position 50: invalid start byte
​ 4022117770 45036 | mentioned | 2020-11-20T17:59:16Z | qufdl0357 | UnicodeDecodeError: 'utf-8' codec can't decode byte 0xc1 in position 50: invalid start byte
​ 4022115184 44933 | subscribed | 2020-11-20T17:58:47Z | bhack | Dataset.unbatch() sets cardinality to -2 when batch remainder is not explicitly dropped
​ 4022115174 44933 | mentioned | 2020-11-20T17:58:47Z | bhack | Dataset.unbatch() sets cardinality to -2 when batch remainder is not explicitly dropped
​ 4022092772 45033 | assigned | 2020-11-20T17:55:10Z | jvishnuvardhan | tensorflow/lite/micro/tools/make/Makefile:403: *** Something went wrong with the flatbuffers download: .  Stop.
​ 4022092761 45033 | unassigned | 2020-11-20T17:55:10Z | Saduf2019 | tensorflow/lite/micro/tools/make/Makefile:403: *** Something went wrong with the flatbuffers download: .  Stop.
​ 4022083457 33708 | labeled | 2020-11-20T17:53:30Z | jvishnuvardhan | non_max_suppression GPU version is 3x slower than CPU version in  TF 1.15
​ 4022073125 45025 | labeled | 2020-11-20T17:51:30Z | amahendrakar | AttributeError: 'TFLiteConverter' object has no attribute 'target_spec'
​ 4022073124 45025 | labeled | 2020-11-20T17:51:30Z | amahendrakar | AttributeError: 'TFLiteConverter' object has no attribute 'target_spec'
​ 4022073121 45025 | labeled | 2020-11-20T17:51:30Z | amahendrakar | AttributeError: 'TFLiteConverter' object has no attribute 'target_spec'
​ 4022073119 45025 | labeled | 2020-11-20T17:51:30Z | amahendrakar | AttributeError: 'TFLiteConverter' object has no attribute 'target_spec'
​ 4022072047 45025 | subscribed | 2020-11-20T17:51:16Z | lxiao217 | AttributeError: 'TFLiteConverter' object has no attribute 'target_spec'
​ 4022072042 45025 | mentioned | 2020-11-20T17:51:16Z | lxiao217 | AttributeError: 'TFLiteConverter' object has no attribute 'target_spec'
​ 4022049642 45041 | assigned | 2020-11-20T17:45:55Z | ymodak | tf2.3  keras model can't save  big embeeding:  tensorflow.SavedModel exceeds maximum protobuf size of 2GB
​ 4022049630 45041 | unassigned | 2020-11-20T17:45:55Z | Saduf2019 | tf2.3  keras model can't save  big embeeding:  tensorflow.SavedModel exceeds maximum protobuf size of 2GB
​ 4022030615 33688 | labeled | 2020-11-20T17:41:15Z | jvishnuvardhan | GradientTape: Allow to execute backward functions on same device as forward functions
​ 4022027323 32564 | labeled | 2020-11-20T17:40:30Z | jvishnuvardhan | model.add_loss no longer works for tf.image.ssim_multiscale in tf 2.1
​ 4022020348 45041 | labeled | 2020-11-20T17:38:51Z | Saduf2019 | tf2.3  keras model can't save  big embeeding:  tensorflow.SavedModel exceeds maximum protobuf size of 2GB
​ 4022020347 45041 | labeled | 2020-11-20T17:38:50Z | Saduf2019 | tf2.3  keras model can't save  big embeeding:  tensorflow.SavedModel exceeds maximum protobuf size of 2GB
​ 4022013368 45021 | assigned | 2020-11-20T17:37:05Z | ymodak | execution_profile_test_with_xla_hlo_profile_cpu fails on s390x
​ 4022013360 45021 | unassigned | 2020-11-20T17:37:04Z | amahendrakar | execution_profile_test_with_xla_hlo_profile_cpu fails on s390x
​ 4022007546 45021 | labeled | 2020-11-20T17:35:37Z | amahendrakar | execution_profile_test_with_xla_hlo_profile_cpu fails on s390x
​ 4022007544 45021 | labeled | 2020-11-20T17:35:37Z | amahendrakar | execution_profile_test_with_xla_hlo_profile_cpu fails on s390x
​ 4021970463 45008 | subscribed | 2020-11-20T17:26:58Z | gqqnbig | Chinese docs on .org site should not link to .cn site
​ 4021970459 45008 | mentioned | 2020-11-20T17:26:58Z | gqqnbig | Chinese docs on .org site should not link to .cn site
​ 4021970452 45008 | closed | 2020-11-20T17:26:58Z | lamberta | Chinese docs on .org site should not link to .cn site
​ 4021877718 44567 | subscribed | 2020-11-20T17:05:39Z | sanjoy | tf-nightly-gpu looking for cusolver64_10.dll on a Cuda 11.1 / cuDNN 8.0.4 RTX3080 Build
​ 4021877714 44567 | mentioned | 2020-11-20T17:05:39Z | sanjoy | tf-nightly-gpu looking for cusolver64_10.dll on a Cuda 11.1 / cuDNN 8.0.4 RTX3080 Build
​ 4021859987 45046 | review_requested | 2020-11-20T17:02:11Z | saxenasaurabh | add BiasAddGradient
​ 4021816269 44984 | subscribed | 2020-11-20T16:54:38Z | dwyatte | Incorrect error handling for invalid input names on SavedModel export
​ 4021816259 44984 | mentioned | 2020-11-20T16:54:38Z | dwyatte | Incorrect error handling for invalid input names on SavedModel export
​ 4021783512 45017 | subscribed | 2020-11-20T16:47:40Z | WindQAQ | Filling values when rotating an image using functions like tfa.image.rotate() and tfa.image.translate()
​ 4021783501 45017 | mentioned | 2020-11-20T16:47:40Z | WindQAQ | Filling values when rotating an image using functions like tfa.image.rotate() and tfa.image.translate()
​ 4021771688 45016 | renamed | 2020-11-20T16:45:24Z | shardiman | Memory leak with tf.GradientTape, tf.while_loop and tf.function
​ 4021769780 45016 | reopened | 2020-11-20T16:45:00Z | shardiman | Memory leak with tf.GradientTape, tf.while_loop and tf.function
​ 4021757320 41072 | subscribed | 2020-11-20T16:42:14Z | rthadur | ValueError raised when weights is a None object
​ 4021757316 41072 | mentioned | 2020-11-20T16:42:14Z | rthadur | ValueError raised when weights is a None object
​ 4021756486 44159 | subscribed | 2020-11-20T16:42:02Z | gdrolet | Incompatibility between versions of TF and CUDA dynamic libraries
​ 4021756479 44159 | mentioned | 2020-11-20T16:42:02Z | gdrolet | Incompatibility between versions of TF and CUDA dynamic libraries
​ 4021553795 45040 | unlabeled | 2020-11-20T15:56:37Z | kokoro-team | TFLu: Suppress compiler error for generated segfault
​ 4021549987 45040 | moved_columns_in_project | 2020-11-20T15:55:49Z | advaitjain | TFLu: Suppress compiler error for generated segfault
​ 4021549767 45040 | labeled | 2020-11-20T15:55:46Z | tensorflow-butler[bot] | TFLu: Suppress compiler error for generated segfault
​ 4021549763 45040 | labeled | 2020-11-20T15:55:46Z | tensorflow-butler[bot] | TFLu: Suppress compiler error for generated segfault
​ 4021548191 45040 | review_request_removed | 2020-11-20T15:55:25Z | advaitjain | TFLu: Suppress compiler error for generated segfault
​ 4021511093 45032 | subscribed | 2020-11-20T15:47:14Z | mihaimaruseac | Wheel repairing broken when using tensorflow/tensorflow:custom-op-gpu-ubuntu16 docker image
​ 4021511090 45032 | mentioned | 2020-11-20T15:47:14Z | mihaimaruseac | Wheel repairing broken when using tensorflow/tensorflow:custom-op-gpu-ubuntu16 docker image
​ 4021403018 45046 | labeled | 2020-11-20T15:23:18Z | google-cla[bot] | add BiasAddGradient
​ 4021402858 45046 | labeled | 2020-11-20T15:23:16Z | tensorflow-butler[bot] | add BiasAddGradient
​ 4021402727 45046 | subscribed | 2020-11-20T15:23:14Z | saxenasaurabh | add BiasAddGradient
​ 4021402720 45046 | mentioned | 2020-11-20T15:23:14Z | saxenasaurabh | add BiasAddGradient
​ 4021373700 45016 | closed | 2020-11-20T15:17:00Z | shardiman | Memory leak with tf.GradientTape, tf.while_loop and tf.function
